text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
You suck #Telstra and #CatholicChurch and Right Wing Nuts! https://t.co/aJMl48JMHb,FALSE,2,NA,14/04/2016 9:49,FALSE,NA,7.20549E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",MatthewRWBarker,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 9:27,FALSE,NA,7.20544E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",kath_67,40,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 9:24,FALSE,NA,7.20543E+17,NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">bullshit asdkasd </a>",AngelaErmin,40,TRUE,FALSE,NA,NA
"RT @MundayJessica: Poor form, #Telstra  https://t.co/LZA32wcPoA",FALSE,0,NA,14/04/2016 9:22,FALSE,NA,7.20543E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ray_wilton,5,TRUE,FALSE,NA,NA
@catholicmelb One assumes that the men you employ are aware that raping children is illegal? https://t.co/wyuOrGpbMp #CARoyalComm #telstra,FALSE,1,catholicmelb,14/04/2016 9:19,FALSE,NA,7.20542E+17,125800328,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",earthma23,0,FALSE,FALSE,NA,NA
Former chairwoman struck deal w Catholic Church to stop campaigning 4 marriage equality https://t.co/9gAmhkS98P #telstra #marriageequality,FALSE,1,NA,14/04/2016 9:18,FALSE,NA,7.20542E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",michaelodell75,0,FALSE,FALSE,NA,NA
"RT @MundayJessica: Poor form, #Telstra  https://t.co/LZA32wcPoA",FALSE,0,NA,14/04/2016 9:15,FALSE,NA,7.20541E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wnhynd,5,TRUE,FALSE,NA,NA
"https://t.co/TsnEvVZTvJ Grave concern for SSM but not for child sex abuse, animal cruelty or #VAW? Shame #Telstra #auspol #Qanda #@Mamamia",FALSE,1,NA,14/04/2016 9:13,FALSE,NA,7.2054E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrHsantana,0,FALSE,FALSE,NA,NA
"RT @MrDenmore: In trying to appease both gays and Catholics, isn't #Telstra assuming there is no overlap between the two?",FALSE,0,NA,14/04/2016 9:08,FALSE,NA,7.20539E+17,NA,"<a href=""http://www.vipvipvip.com"" rel=""nofollow"">theresaliving</a>",theresaliving,9,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 9:08,FALSE,NA,7.20539E+17,NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">danatesat15</a>",DanaComplin,40,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 9:08,FALSE,NA,7.20539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pgalebaker,40,TRUE,FALSE,NA,NA
"RT @CosmicRami: #Telstra CEO: ""We support it just staying out of it""

Bruce Springsteen: ""Screw the money, I have principles""

Note. The. D…",FALSE,0,NA,14/04/2016 8:59,FALSE,NA,7.20537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aqua_Man_Om,7,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:59,FALSE,NA,7.20537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aqua_Man_Om,40,TRUE,FALSE,NA,NA
My piece on #pinkwashing in Australian corporations and #Telstra and #marriageequality https://t.co/sMNqx9h5R0 via @HuffPostAU #auspol #lgbt,FALSE,3,NA,14/04/2016 8:55,FALSE,NA,7.20536E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",joshpallas,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:54,FALSE,NA,7.20536E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",berniepeoples,40,TRUE,FALSE,NA,NA
"Let's not forget @VirginMobileAus. Do you support marriage equality, unlike your counterpart @Telstra? #shame #Telstra #shame",FALSE,1,NA,14/04/2016 8:51,FALSE,NA,7.20535E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lyllelan,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:49,FALSE,NA,7.20534E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",maddengurl,40,TRUE,FALSE,NA,NA
#Telstra denies Catholic pressure forced it to abandon marriage equality campaign #jobs #jobsearch #: #Austral... https://t.co/iO18bKIVJ3,FALSE,0,NA,14/04/2016 8:49,FALSE,NA,7.20534E+17,NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",rssphp,0,FALSE,FALSE,NA,NA
"#Telstra CTO ""If everyone stops talking about #innovation maybe some of it can actually get done"" https://t.co/rBlYPHRZFI Totes agree!",FALSE,1,NA,14/04/2016 8:44,FALSE,NA,7.20533E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",DavidLeckstrom,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:44,FALSE,NA,7.20533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False_Prodigal,40,TRUE,FALSE,NA,NA
@Michaele_H and #Telstra owns #foxtel,FALSE,0,Michaele_H,14/04/2016 8:43,FALSE,7.19741E+17,7.20533E+17,18629546,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",justindot,0,FALSE,FALSE,NA,NA
