text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"So Telstra, how much does supporting freedom cost? 

#TelstraOutage #Catholic #Pigs",FALSE,0,NA,13/04/2016 9:55,FALSE,NA,7.20189E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alphabetpoop,0,FALSE,FALSE,NA,NA
"#telstra just trying to take the emphasis off their lousy service.
#TelstraOutage",FALSE,0,NA,13/04/2016 9:53,FALSE,NA,7.20188E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kingkahui75,0,FALSE,FALSE,NA,NA
#telstraoutage I'm with dodo and which runs via a Telstra phone line and that's down too,FALSE,0,NA,13/04/2016 9:03,FALSE,NA,7.20176E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bdstratton,0,FALSE,FALSE,NA,NA
"RT @WilmaSlurrie: Telstra's support for same sex marriage will be interrupted from 10.00 pm til 3.00 am every Thursday and Sunday.  
#Telst…",FALSE,0,NA,13/04/2016 9:00,FALSE,NA,7.20175E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",absolutelyallan,5,TRUE,FALSE,NA,NA
"Telstra's support for same sex marriage will be interrupted from 10.00 pm til 3.00 am every Thursday and Sunday.  
#TelstraOutage",FALSE,5,NA,13/04/2016 8:54,FALSE,NA,7.20173E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",WilmaSlurrie,5,FALSE,FALSE,NA,NA
"@Telstra @Telstra_news fuck you, I will never support your brand ever again you backward cowards! #TelstraOutage",FALSE,0,Telstra,13/04/2016 8:32,FALSE,NA,7.20168E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vulture_street,0,FALSE,FALSE,NA,NA
What a disaster Telstra. You never give in to terrorism!! #TelstraOutage,FALSE,0,NA,13/04/2016 7:56,FALSE,NA,7.20159E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aminutewithkris,0,FALSE,FALSE,NA,NA
@Telstra_news @Telstra service &amp; Catholic Church service both grossly inadequate for the needs of the 21st century #telstraoutage #equality,FALSE,2,Telstra_news,13/04/2016 7:45,FALSE,7.20087E+17,7.20156E+17,217062138,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",b_daly,0,FALSE,FALSE,NA,NA
RT @_thomasparkes: @Telstra won't sell me a male to male wall socket. #Homophobes #Telstra #TelstraOutage,FALSE,0,NA,13/04/2016 7:09,FALSE,NA,7.20147E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChrisWalkerMelb,1,TRUE,FALSE,NA,NA
@Telstra won't sell me a male to male wall socket. #Homophobes #Telstra #TelstraOutage,FALSE,1,Telstra,13/04/2016 6:17,FALSE,NA,7.20134E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",_thomasparkes,1,FALSE,FALSE,NA,NA
